"Age","Gender","HCCI_category","HCCI_subcategory","Year","spending_per_member","OOP_spending_per_member","adjusted_price","adjusted_utilization_per_1000","annual_pct_change_spending_per_member","annual_pct_change_adjusted_price","annual_pct_change_adjusted_utilization_per_1000"
"19-25","Female","RX","Hormones",2016,60.29,7.564,21.988,2741.87,0.051,0.021,0.03
"19-25","Female","RX","Hormones",2017,68.34,6.563,22.305,3063.84,0.134,0.014,0.117
"19-25","Female","RX","Metabolic",2014,0.26,0.094,20.547,12.825,0,0,0
"19-25","Female","RX","Metabolic",2015,0.29,0.087,23.57,12.151,0.087,0.147,-0.053
"19-25","Female","RX","Metabolic",2016,0.26,0.086,21.784,11.815,-0.101,-0.076,-0.028
"19-25","Female","RX","Metabolic",2017,0.28,0.083,23.185,12.049,0.085,0.064,0.02
"19-25","Female","RX","Miscellaneous",2014,1.12,0.165,91.782,12.181,0,0,0
"19-25","Female","RX","Miscellaneous",2015,1.34,0.176,103.181,12.946,0.195,0.124,0.063
"19-25","Female","RX","Miscellaneous",2016,1.38,0.193,106.994,12.904,0.034,0.037,-0.003
"19-25","Female","RX","Miscellaneous",2017,1.17,0.167,90.866,12.821,-0.156,-0.151,-0.006
"19-25","Female","RX","Respiratory",2014,2.72,1.342,33.44,81.428,0,0,0
"19-25","Female","RX","Respiratory",2015,2.45,1.305,28.568,85.583,-0.102,-0.146,0.051
"19-25","Female","RX","Respiratory",2016,2.78,1.411,29.652,93.66,0.136,0.038,0.094
"19-25","Female","RX","Respiratory",2017,2.96,1.427,29.143,101.508,0.065,-0.017,0.084
"19-25","Female","RX","Rheumatoid Arthritis",2014,0.01,0.002,35.826,0.202,0,0,0
"19-25","Female","RX","Rheumatoid Arthritis",2015,0.02,0.003,75.553,0.277,1.895,1.109,0.373
"19-25","Female","RX","Rheumatoid Arthritis",2016,0.03,0.004,117.312,0.266,0.494,0.553,-0.038
"19-25","Female","RX","Rheumatoid Arthritis",2017,0.04,0.005,135.825,0.319,0.387,0.158,0.198
"19-25","Female","RX","Skin",2014,28.23,5.483,150.056,188.116,0,0,0
"19-25","Female","RX","Skin",2015,31.34,6.204,166.942,187.715,0.11,0.113,-0.002
"19-25","Female","RX","Skin",2016,33.14,6.876,177.646,186.541,0.057,0.064,-0.006
"19-25","Female","RX","Skin",2017,31.89,7.152,168.728,189.016,-0.038,-0.05,0.013
"19-25","Female","RX","Smooth Muscle Relaxants",2014,0.19,0.063,48.375,3.977,0,0,0
"19-25","Female","RX","Smooth Muscle Relaxants",2015,0.2,0.061,48.248,4.161,0.044,-0.003,0.046
"19-25","Female","RX","Smooth Muscle Relaxants",2016,0.2,0.065,46.604,4.268,-0.009,-0.034,0.026
"19-25","Female","RX","Smooth Muscle Relaxants",2017,0.22,0.078,44.851,4.89,0.103,-0.038,0.146
"19-25","Female","RX","Vaccines",2014,0,0,65.451,0.001,0,0,0
"19-25","Female","RX","Vaccines",2015,0,0.001,388.847,0.011,62.825,4.941,9.743
"19-25","Female","RX","Vaccines",2016,0.02,0.01,187.385,0.096,3.132,-0.518,7.574
"19-25","Female","RX","Vaccines",2017,0.03,0.014,233.133,0.124,0.606,0.244,0.291
"19-25","Female","RX","Vitamins",2014,1.44,0.749,19.207,74.776,0,0,0
"19-25","Female","RX","Vitamins",2015,1.41,0.698,19.612,71.937,-0.018,0.021,-0.038
"19-25","Female","RX","Vitamins",2016,1.08,0.641,17.955,60.109,-0.235,-0.084,-0.164
"19-25","Female","RX","Vitamins",2017,1.11,0.609,17.703,62.866,0.031,-0.014,0.046
"19-25","Female","RX","All Prescription Drugs",2014,12.81,1.224,258.551,49.561,0,0,0
"19-25","Female","RX","All Prescription Drugs",2015,8.78,1.068,180.688,48.576,-0.315,-0.301,-0.02
"19-25","Female","RX","All Prescription Drugs",2016,5.65,0.849,131.609,42.91,-0.357,-0.272,-0.117
"19-25","Female","RX","All Prescription Drugs",2017,6.08,0.88,135.269,44.913,0.076,0.028,0.047
"19-25","Female","RX","Anti-Infectives",2014,0.21,0.014,968.566,0.22,0,0,0
"19-25","Female","RX","Anti-Infectives",2015,0.04,0.005,353.111,0.119,-0.803,-0.635,-0.459
"19-25","Female","RX","Anti-Infectives",2016,0.01,0.001,346.363,0.027,-0.777,-0.019,-0.773
"19-25","Female","RX","Anti-Infectives",2017,0,0.001,57.907,0.023,-0.858,-0.833,-0.149
"19-25","Female","RX","Antihistamines",2014,0.37,0.011,3769.09,0.099,0,0,0
"19-25","Female","RX","Antihistamines",2015,0.07,0.003,2447.76,0.028,-0.815,-0.351,-0.715
"19-25","Female","RX","Antihistamines",2016,0,0.001,80.942,0.008,-0.99,-0.967,-0.711
"19-25","Female","RX","Antihistamines",2017,0,0,65.176,0.002,-0.757,-0.195,-0.698
"19-25","Female","RX","Autonomic",2014,0.22,0.016,1171.09,0.189,0,0,0
"19-25","Female","RX","Autonomic",2015,0.08,0.004,1179.14,0.065,-0.653,0.007,-0.655
"19-25","Female","RX","Autonomic",2016,0,0.001,166.165,0.014,-0.97,-0.859,-0.787
"19-25","Female","RX","Autonomic",2017,0,0,72.807,0.004,-0.886,-0.562,-0.74
"19-25","Female","RX","Blood",2014,0.04,0.003,2207.9,0.019,0,0,0
"19-25","Female","RX","Blood",2015,0,0,220.674,0.001,-0.995,-0.9,-0.947
"19-25","Female","RX","Cardiovascular",2014,0.09,0.008,518.037,0.18,0,0,0
"19-25","Female","RX","Cardiovascular",2015,0.07,0.008,761.299,0.093,-0.238,0.47,-0.482
"19-25","Female","RX","Cardiovascular",2016,0,0.001,52.353,0.036,-0.973,-0.931,-0.612
"19-25","Female","RX","Cardiovascular",2017,0,0.001,56.918,0.031,-0.076,0.087,-0.15
"19-25","Female","RX","Central Nervous System",2014,2.41,0.122,1823.57,1.323,0,0,0
"19-25","Female","RX","Central Nervous System",2015,0.78,0.044,1499.31,0.517,-0.678,-0.178,-0.609
"19-25","Female","RX","Central Nervous System",2016,0.01,0.004,110.721,0.114,-0.984,-0.926,-0.78
"19-25","Female","RX","Central Nervous System",2017,0.01,0.002,115.54,0.073,-0.334,0.044,-0.362
"19-25","Female","RX","Chemotherapy",2014,0.03,0.003,726.397,0.043,0,0,0
"19-25","Female","RX","Chemotherapy",2015,0.13,0.002,3877.62,0.033,3.121,4.338,-0.228
"19-25","Female","RX","Chemotherapy",2016,0.02,0,2957.67,0.008,-0.817,-0.237,-0.761
"19-25","Female","RX","Chemotherapy",2017,0,0,61.14,0.008,-0.979,-0.979,-0.005
"19-25","Female","RX","Devices",2014,1.24,0.289,61.701,20.125,0,0,0
"19-25","Female","RX","Devices",2015,1.53,0.31,73.46,20.794,0.23,0.191,0.033
"19-25","Female","RX","Devices",2016,1.53,0.322,74.675,20.424,-0.002,0.017,-0.018
"19-25","Female","RX","Devices",2017,2.03,0.389,89.962,22.57,0.331,0.205,0.105
"19-25","Female","RX","Diagnostic",2014,4.06,0.543,177.004,22.912,0,0,0
"19-25","Female","RX","Diagnostic",2015,4.07,0.528,177.572,22.901,0.003,0.003,0
"19-25","Female","RX","Diagnostic",2016,3.81,0.478,186.227,20.444,-0.064,0.049,-0.107
"19-25","Female","RX","Diagnostic",2017,3.87,0.455,190.101,20.339,0.016,0.021,-0.005
"19-25","Female","RX","EENT",2014,0,0.001,22.866,0.04,0,0,0
"19-25","Female","RX","EENT",2015,0,0.001,33.884,0.031,0.15,0.482,-0.224
"19-25","Female","RX","EENT",2016,0,0,17.275,0.028,-0.54,-0.49,-0.098
"19-25","Female","RX","EENT",2017,0,0,26.428,0.02,0.116,0.53,-0.271
"19-25","Female","RX","Enzymes",2014,0.01,0,3592.51,0.002,0,0,0
"19-25","Female","RX","Gastrointestinal",2014,0.03,0.002,548.036,0.052,0,0,0
"19-25","Female","RX","Gastrointestinal",2015,0.02,0.001,808.563,0.029,-0.179,0.475,-0.443
"19-25","Female","RX","Gastrointestinal",2016,0,0,284.679,0.012,-0.854,-0.648,-0.585
"19-25","Female","RX","Gastrointestinal",2017,0.06,0.001,3043.09,0.019,15.699,9.69,0.562
"19-25","Female","RX","Heavy Metal Antagonists",2014,0,0,132.821,0.005,0,0,0
"19-25","Female","RX","Heavy Metal Antagonists",2015,0,0,61.957,0.004,-0.657,-0.534,-0.264
"19-25","Female","RX","Heavy Metal Antagonists",2016,0,0,1763.25,0,-0.013,27.459,-0.965
"19-25","Female","RX","Hormones",2014,2.06,0.079,1657.38,1.244,0,0,0
"19-25","Female","RX","Hormones",2015,0.29,0.044,420.848,0.697,-0.858,-0.746,-0.439
"19-25","Female","RX","Hormones",2016,0.02,0.007,81.981,0.26,-0.927,-0.805,-0.627
"19-25","Female","RX","Hormones",2017,0.01,0.005,51.16,0.178,-0.572,-0.376,-0.314
"19-25","Female","RX","Metabolic",2014,0,0,407.511,0.008,0,0,0
"19-25","Female","RX","Metabolic",2015,0,0,35.53,0.008,-0.919,-0.913,-0.073
"19-25","Female","RX","Metabolic",2016,0,0,27.599,0.003,-0.716,-0.223,-0.634
"19-25","Female","RX","Miscellaneous",2014,1.13,0.083,534.334,2.119,0,0,0
"19-25","Female","RX","Miscellaneous",2015,1.13,0.089,434.758,2.593,-0.004,-0.186,0.224
"19-25","Female","RX","Miscellaneous",2016,0.22,0.026,191.125,1.141,-0.806,-0.56,-0.56
"19-25","Female","RX","Miscellaneous",2017,0.09,0.022,70.552,1.271,-0.589,-0.631,0.113
"19-25","Female","RX","Respiratory",2014,0.04,0.004,1138.43,0.036,0,0,0
"19-25","Female","RX","Respiratory",2015,0.01,0.001,315.268,0.015,-0.887,-0.723,-0.591
"19-25","Female","RX","Respiratory",2016,0,0,475.709,0.003,-0.657,0.509,-0.773
"19-25","Female","RX","Respiratory",2017,0,0,33,0.001,-0.988,-0.931,-0.822
"19-25","Female","RX","Skin",2014,0.59,0.033,779.597,0.756,0,0,0
"19-25","Female","RX","Skin",2015,0.32,0.017,593.514,0.533,-0.463,-0.239,-0.294
"19-25","Female","RX","Skin",2016,0.01,0.005,31.555,0.358,-0.964,-0.947,-0.329
"19-25","Female","RX","Skin",2017,0.01,0.004,25.754,0.369,-0.158,-0.184,0.031
"19-25","Female","RX","Smooth Muscle Relaxants",2014,0,0,75.98,0.003,0,0,0
"19-25","Female","RX","Smooth Muscle Relaxants",2015,0,0,57.764,0.002,-0.498,-0.24,-0.339
"19-25","Female","RX","Vitamins",2014,0.27,0.013,1433.73,0.187,0,0,0
"19-25","Female","RX","Vitamins",2015,0.25,0.012,2252.57,0.112,-0.057,0.571,-0.4
"19-25","Female","RX","Vitamins",2016,0.01,0.001,275.155,0.029,-0.968,-0.878,-0.74
"19-25","Female","RX","Vitamins",2017,0,0,22.292,0.004,-0.988,-0.919,-0.848
"19-25","Male","IP","All Inpatient",2014,433.31,24.735,18182.25,23.831,0,0,0
"19-25","Male","IP","All Inpatient",2015,457.59,26.078,19110.52,23.945,0.056,0.051,0.005
"19-25","Male","IP","All Inpatient",2016,480.41,28.595,19514.96,24.617,0.05,0.021,0.028
"19-25","Male","IP","All Inpatient",2017,501.43,29.239,20543.25,24.408,0.044,0.053,-0.008
"19-25","Male","IP","Hospice",2014,0.31,0.032,6519.14,0.047,0,0,0
"19-25","Male","IP","Hospice",2015,0.59,0.1,4125.41,0.142,0.911,-0.367,2.02
"19-25","Male","IP","Hospice",2016,0.92,0.207,3883.75,0.236,0.565,-0.059,0.663
"19-25","Male","IP","Hospice",2017,0.26,0.036,4281.94,0.061,-0.713,0.103,-0.74
"19-25","Male","IP","Medical",2014,159.13,8.09,19083.4,8.339,0,0,0
"19-25","Male","IP","Medical",2015,161.27,8.195,20042.66,8.046,0.013,0.05,-0.035
"19-25","Male","IP","Medical",2016,162.82,8.334,19723.54,8.255,0.01,-0.016,0.026
"19-25","Male","IP","Medical",2017,161.92,8.173,21036.39,7.697,-0.006,0.067,-0.068
"19-25","Male","IP","Mental Health",2014,43.23,4.974,8195.62,5.275,0,0,0
"19-25","Male","IP","Mental Health",2015,45.94,5.248,8476.64,5.42,0.063,0.034,0.027
"19-25","Male","IP","Mental Health",2016,47.76,5.6,8577.67,5.568,0.04,0.012,0.027
"19-25","Male","IP","Mental Health",2017,54.75,6.529,9142.39,5.988,0.146,0.066,0.075
"19-25","Male","IP","Other",2014,2.01,0.312,6487.31,0.31,0,0,0
"19-25","Male","IP","Other",2015,4.01,0.317,10421.32,0.385,0.992,0.606,0.24
"19-25","Male","IP","Other",2016,4.38,0.575,9601.89,0.456,0.092,-0.079,0.185
"19-25","Male","IP","Other",2017,4,0.428,8327.43,0.48,-0.086,-0.133,0.054
"19-25","Male","IP","SNF",2014,1.27,0.044,5775.89,0.219,0,0,0
"19-25","Male","IP","SNF",2015,1.21,0.052,8651.24,0.14,-0.042,0.498,-0.36
"19-25","Male","IP","SNF",2016,1.39,0.068,8619.34,0.161,0.144,-0.004,0.149
"19-25","Male","IP","SNF",2017,1.23,0.051,7323.22,0.168,-0.114,-0.15,0.043
"19-25","Male","IP","Substance Use",2014,47.08,6.569,8224.97,5.724,0,0,0
"19-25","Male","IP","Substance Use",2015,53.18,7.872,9020,5.895,0.129,0.097,0.03
"19-25","Male","IP","Substance Use",2016,63.48,9.36,9955.01,6.376,0.194,0.104,0.082
"19-25","Male","IP","Substance Use",2017,71.9,9.809,11245.87,6.393,0.133,0.13,0.003
"19-25","Male","IP","Surgical",2014,180.28,4.714,46022.72,3.917,0,0,0
"19-25","Male","IP","Surgical",2015,191.4,4.292,47922.98,3.994,0.062,0.041,0.02
"19-25","Male","IP","Surgical",2016,199.67,4.451,49698.07,4.018,0.043,0.037,0.006
"19-25","Male","IP","Surgical",2017,207.37,4.215,52379.4,3.959,0.039,0.054,-0.015
"19-25","Male","OP","All Outpatient",2014,738.88,135.668,647.436,1141.24,0,0,0
"19-25","Male","OP","All Outpatient",2015,770.63,146.399,670.447,1149.43,0.043,0.035,0.008
"19-25","Male","OP","All Outpatient",2016,817,162.438,688.248,1187.07,0.06,0.025,0.035
"19-25","Male","OP","All Outpatient",2017,832.71,168.439,716.535,1162.13,0.019,0.041,-0.021
"19-25","Male","OP","All Outpatient Procedures",2014,266.2,44.668,289.631,919.095,0,0,0
"19-25","Male","OP","All Outpatient Procedures",2015,275.34,47.202,293.191,939.123,0.034,0.012,0.022
"19-25","Male","OP","All Outpatient Procedures",2016,301.83,52.719,295.728,1020.64,0.096,0.009,0.087
"19-25","Male","OP","All Outpatient Procedures",2017,302.24,53.737,298.73,1011.75,0.001,0.01,-0.009
"19-25","Male","OP","Ambulance",2014,32.7,4.862,693.836,47.123,0,0,0
"19-25","Male","OP","Ambulance",2015,34.72,5.215,718.798,48.3,0.062,0.036,0.025
"19-25","Male","OP","Ambulance",2016,34.32,5.79,695.806,49.33,-0.011,-0.032,0.021
"19-25","Male","OP","Ambulance",2017,35.37,5.654,725.561,48.748,0.03,0.043,-0.012
"19-25","Male","OP","DME",2014,24.25,5.908,211.083,114.875,0,0,0
"19-25","Male","OP","DME",2015,23.88,5.964,211.833,112.733,-0.015,0.004,-0.019
"19-25","Male","OP","DME",2016,25.99,6.496,207.76,125.084,0.088,-0.019,0.11
"19-25","Male","OP","DME",2017,26.11,6.585,212.726,122.741,0.005,0.024,-0.019
"19-25","Male","OP","Lab",2014,38.37,6.592,112.357,341.453,0,0,0
"19-25","Male","OP","Lab",2015,34.46,6.659,103.712,332.242,-0.102,-0.077,-0.027
"19-25","Male","OP","Lab",2016,46.13,7.977,110.443,417.647,0.339,0.065,0.257
"19-25","Male","OP","Lab",2017,40.24,8.152,103.956,387.058,-0.128,-0.059,-0.073
"19-25","Male","OP","Other Outpatient",2014,124.66,15.758,360.865,345.441,0,0,0
"19-25","Male","OP","Other Outpatient",2015,135.78,17.345,365.971,371.016,0.089,0.014,0.074
"19-25","Male","OP","Other Outpatient",2016,147.06,19.38,368.642,398.919,0.083,0.007,0.075
"19-25","Male","OP","Other Outpatient",2017,150.48,20.061,372.955,403.491,0.023,0.012,0.011
"19-25","Male","OP","Radiology",2014,46.23,11.548,658.553,70.203,0,0,0
"19-25","Male","OP","Radiology",2015,46.51,12.02,671.937,69.21,0.006,0.02,-0.014
"19-25","Male","OP","Radiology",2016,48.34,13.076,670.118,72.132,0.039,-0.003,0.042
"19-25","Male","OP","Radiology",2017,50.04,13.286,699.69,71.514,0.035,0.044,-0.009
"19-25","Male","OP","All Outpatient Visits",2014,472.68,91,2127.82,222.143,0,0,0
"19-25","Male","OP","All Outpatient Visits",2015,495.29,99.196,2229.11,222.193,0.048,0.048,0
"19-25","Male","OP","All Outpatient Visits",2016,515.16,109.719,2303.72,223.622,0.04,0.033,0.006
"19-25","Male","OP","All Outpatient Visits",2017,530.47,114.702,2439.15,217.481,0.03,0.059,-0.027
"19-25","Male","OP","ER",2014,272.36,63.239,1503.28,181.177,0,0,0
"19-25","Male","OP","ER",2015,288.63,70.701,1590.54,181.464,0.06,0.058,0.002
"19-25","Male","OP","ER",2016,305.13,79.216,1662.39,183.551,0.057,0.045,0.011
"19-25","Male","OP","ER",2017,316.39,84.339,1742.22,181.6,0.037,0.048,-0.011
"19-25","Male","OP","Observation",2014,8.96,0.947,1848.52,4.849,0,0,0
"19-25","Male","OP","Observation",2015,8.84,0.88,1894.72,4.666,-0.014,0.025,-0.038
"19-25","Male","OP","Observation",2016,9.25,1.011,1993.23,4.639,0.046,0.052,-0.006
"19-25","Male","OP","Observation",2017,10.05,1.148,2115.47,4.75,0.087,0.061,0.024
"19-25","Male","OP","Surgery",2014,191.36,26.814,5298.29,36.117,0,0,0
"19-25","Male","OP","Surgery",2015,197.83,27.615,5476.52,36.122,0.034,0.034,0
"19-25","Male","OP","Surgery",2016,200.78,29.491,5540.99,36.236,0.015,0.012,0.003
"19-25","Male","OP","Surgery",2017,204.03,29.215,5868.66,34.767,0.016,0.059,-0.041
"19-25","Male","PH","Administered Drugs",2014,52.9,2.441,463.296,114.174,0,0,0
"19-25","Male","PH","Administered Drugs",2015,58.79,2.644,536.916,109.49,0.111,0.159,-0.041
"19-25","Male","PH","Administered Drugs",2016,75.12,3.197,690.379,108.805,0.278,0.286,-0.006
"19-25","Male","PH","Administered Drugs",2017,92.01,3.624,744.197,123.631,0.225,0.078,0.136
"19-25","Male","PH","Administration of Drugs",2014,7.64,0.943,45.999,166.098,0,0,0
"19-25","Male","PH","Administration of Drugs",2015,8.85,1.015,49.462,178.886,0.158,0.075,0.077
"19-25","Male","PH","Administration of Drugs",2016,9.27,1.119,47.431,195.395,0.047,-0.041,0.092
"19-25","Male","PH","Administration of Drugs",2017,11.72,1.202,55.714,210.311,0.264,0.175,0.076
"19-25","Male","PH","All Professional Services",2014,740.26,170.393,97.976,7555.48,0,0,0
"19-25","Male","PH","All Professional Services",2015,749.66,180.678,98.377,7620.32,0.013,0.004,0.009
"19-25","Male","PH","All Professional Services",2016,775.73,193.296,102.047,7601.7,0.035,0.037,-0.002
"19-25","Male","PH","All Professional Services",2017,808.91,199.968,104.22,7761.58,0.043,0.021,0.021
"19-25","Male","PH","Anesthesia",2014,32.69,5.64,721.156,45.333,0,0,0
"19-25","Male","PH","Anesthesia",2015,34.13,5.952,741.892,46.002,0.044,0.029,0.015
"19-25","Male","PH","Anesthesia",2016,34.4,6.09,738.544,46.571,0.008,-0.005,0.012
"19-25","Male","PH","Anesthesia",2017,34.68,6.293,745.378,46.532,0.008,0.009,-0.001
"19-25","Male","PH","ER",2014,62.12,11.23,348.111,178.437,0,0,0
"19-25","Male","PH","ER",2015,67.04,13.092,366.486,182.93,0.079,0.053,0.025
"19-25","Male","PH","ER",2016,68.71,14.691,373.594,183.916,0.025,0.019,0.005
"19-25","Male","PH","ER",2017,68.8,15.104,375.709,183.113,0.001,0.006,-0.004
"19-25","Male","PH","Immunizations",2014,8.09,0.243,66.211,122.232,0,0,0
"19-25","Male","PH","Immunizations",2015,8.13,0.257,64.856,125.325,0.004,-0.02,0.025
"19-25","Male","PH","Immunizations",2016,10.34,0.264,59.988,172.426,0.273,-0.075,0.376
"19-25","Male","PH","Immunizations",2017,11.13,0.281,60.301,184.643,0.076,0.005,0.071
"19-25","Male","PH","Lab",2014,106.9,19.961,44.586,2397.68,0,0,0
"19-25","Male","PH","Lab",2015,94.1,20.165,42.025,2239.19,-0.12,-0.057,-0.066
"19-25","Male","PH","Lab",2016,60.67,16.017,37.568,1614.96,-0.355,-0.106,-0.279
"19-25","Male","PH","Lab",2017,58.08,15.838,34.826,1667.65,-0.043,-0.073,0.033
"19-25","Male","PH","Office Visits",2014,145.84,52.215,105.11,1387.54,0,0,0
"19-25","Male","PH","Office Visits",2015,151.62,55.076,107.707,1407.67,0.04,0.025,0.015
"19-25","Male","PH","Office Visits",2016,159.17,59.314,110.256,1443.62,0.05,0.024,0.026
"19-25","Male","PH","Office Visits",2017,166.01,61.914,112.527,1475.29,0.043,0.021,0.022
"19-25","Male","PH","Other Services",2014,117.96,19.155,92.037,1281.67,0,0,0
"19-25","Male","PH","Other Services",2015,119.06,21.278,88.136,1350.82,0.009,-0.042,0.054
"19-25","Male","PH","Other Services",2016,144.05,27.548,101.438,1420.05,0.21,0.151,0.051
"19-25","Male","PH","Other Services",2017,149.47,28.458,102.259,1461.71,0.038,0.008,0.029
"19-25","Male","PH","Physical Medicine",2014,35.63,13.155,41.011,868.855,0,0,0
"19-25","Male","PH","Physical Medicine",2015,35.75,13.688,41.334,864.827,0.003,0.008,-0.005
"19-25","Male","PH","Physical Medicine",2016,36.11,14.268,43.172,836.4,0.01,0.044,-0.033
"19-25","Male","PH","Physical Medicine",2017,37.3,14.911,44.156,844.802,0.033,0.023,0.01
"19-25","Male","PH","Psychiatry",2014,34.34,12.953,98.396,349.04,0,0,0
"19-25","Male","PH","Psychiatry",2015,36.77,13.579,101.196,363.366,0.071,0.028,0.041
"19-25","Male","PH","Psychiatry",2016,41.8,15.222,104.433,400.232,0.137,0.032,0.101
"19-25","Male","PH","Psychiatry",2017,45.14,16.636,104.746,430.961,0.08,0.003,0.077
"19-25","Male","PH","Radiology",2014,43.85,12.415,105.592,415.291,0,0,0
"19-25","Male","PH","Radiology",2015,43.72,13.023,105.575,414.086,-0.003,0,-0.003
"19-25","Male","PH","Radiology",2016,43.41,13.564,105.654,410.911,-0.007,0.001,-0.008
"19-25","Male","PH","Radiology",2017,44.13,13.871,107.996,408.652,0.017,0.022,-0.005
"19-25","Male","PH","Surgical",2014,92.28,20.043,402.746,229.13,0,0,0
"19-25","Male","PH","Surgical",2015,91.72,20.91,405.526,226.179,-0.006,0.007,-0.013
"19-25","Male","PH","Surgical",2016,92.69,22.003,409.772,226.207,0.011,0.01,0
"19-25","Male","PH","Surgical",2017,90.43,21.836,410.767,220.157,-0.024,0.002,-0.027
"19-25","Male","RX","All Prescription Drugs",2014,347.41,53.858,163.878,2119.94,0,0,0
"19-25","Male","RX","All Prescription Drugs",2015,377.52,54.013,179.852,2099.03,0.087,0.097,-0.01
"19-25","Male","RX","All Prescription Drugs",2016,422.3,56.707,198.044,2132.34,0.119,0.101,0.016
"19-25","Male","RX","All Prescription Drugs",2017,452.45,58.121,203.669,2221.52,0.071,0.028,0.042
"19-25","Male","RX","Anti-Infectives",2014,45.96,7.493,223.483,205.641,0,0,0
"19-25","Male","RX","Anti-Infectives",2015,54.45,7.926,272.151,200.059,0.185,0.218,-0.027
"19-25","Male","RX","Anti-Infectives",2016,63.36,8.236,328.4,192.936,0.164,0.207,-0.036
"19-25","Male","RX","Anti-Infectives",2017,68.35,8.485,352.04,194.16,0.079,0.072,0.006
"19-25","Male","RX","Antihistamines",2014,0.52,0.183,45.703,11.43,0,0,0
"19-25","Male","RX","Antihistamines",2015,0.3,0.155,27.68,10.938,-0.42,-0.394,-0.043
"19-25","Male","RX","Antihistamines",2016,0.27,0.168,21.93,12.461,-0.097,-0.208,0.139
"19-25","Male","RX","Antihistamines",2017,0.28,0.146,22.887,12.03,0.008,0.044,-0.035
"19-25","Male","RX","Autonomic",2014,7.41,2.553,81.418,90.987,0,0,0
"19-25","Male","RX","Autonomic",2015,8.25,2.513,91.68,90.028,0.114,0.126,-0.011
"19-25","Male","RX","Autonomic",2016,8.73,2.688,101.248,86.257,0.058,0.104,-0.042
"19-25","Male","RX","Autonomic",2017,8.44,2.869,96.518,87.391,-0.034,-0.047,0.013
"19-25","Male","RX","Bio Response Modifiers",2014,6.06,0.156,6117.46,0.99,0,0,0
"19-25","Male","RX","Bio Response Modifiers",2015,6.81,0.113,7065.93,0.963,0.124,0.155,-0.027
"19-25","Male","RX","Bio Response Modifiers",2016,5.99,0.115,7889.84,0.759,-0.12,0.117,-0.212
"19-25","Male","RX","Bio Response Modifiers",2017,6.37,0.166,7783.22,0.818,0.064,-0.014,0.078
"19-25","Male","RX","Blood",2014,30.76,0.216,5183.33,5.934,0,0,0
"19-25","Male","RX","Blood",2015,32.28,0.266,5571.14,5.794,0.049,0.075,-0.024
"19-25","Male","RX","Blood",2016,38.52,0.322,6426.38,5.994,0.193,0.154,0.035
"19-25","Male","RX","Blood",2017,36.07,0.335,5754.85,6.267,-0.064,-0.104,0.046
"19-25","Male","RX","Cardiovascular",2014,3.54,0.999,34.74,101.901,0,0,0
"19-25","Male","RX","Cardiovascular",2015,3.05,0.936,29.535,103.233,-0.139,-0.15,0.013
"19-25","Male","RX","Cardiovascular",2016,3.1,1.001,27.966,110.853,0.017,-0.053,0.074
"19-25","Male","RX","Cardiovascular",2017,3.18,1.018,26.6,119.512,0.025,-0.049,0.078
"19-25","Male","RX","Central Nervous System",2014,115.39,24.094,108.525,1063.26,0,0,0
"19-25","Male","RX","Central Nervous System",2015,116.25,23.926,108.058,1075.82,0.007,-0.004,0.012
"19-25","Male","RX","Central Nervous System",2016,123.64,25.144,109.825,1125.75,0.064,0.016,0.046
"19-25","Male","RX","Central Nervous System",2017,121.65,24.92,103.255,1178.15,-0.016,-0.06,0.047
"19-25","Male","RX","Chemotherapy",2014,2.83,0.113,443.999,6.378,0,0,0
"19-25","Male","RX","Chemotherapy",2015,4.39,0.143,671.106,6.535,0.549,0.512,0.025
"19-25","Male","RX","Chemotherapy",2016,5.29,0.138,790.381,6.691,0.206,0.178,0.024
"19-25","Male","RX","Chemotherapy",2017,6.03,0.132,907.634,6.645,0.14,0.148,-0.007
"19-25","Male","RX","Devices",2014,1.14,0.301,60.174,18.975,0,0,0
"19-25","Male","RX","Devices",2015,1.32,0.316,69.703,18.971,0.158,0.158,0
"19-25","Male","RX","Devices",2016,1.43,0.355,76.448,18.697,0.081,0.097,-0.014
"19-25","Male","RX","Devices",2017,1.94,0.403,93.55,20.781,0.36,0.224,0.111
"19-25","Male","RX","Diagnostic",2014,4.11,0.442,219.217,18.733,0,0,0
"19-25","Male","RX","Diagnostic",2015,3.86,0.4,205.85,18.731,-0.061,-0.061,0
"19-25","Male","RX","Diagnostic",2016,3.63,0.377,212.806,17.041,-0.059,0.034,-0.09
"19-25","Male","RX","Diagnostic",2017,3.98,0.417,221.472,17.984,0.098,0.041,0.055
"19-25","Male","RX","EENT",2014,6.29,2.422,61.954,101.496,0,0,0
"19-25","Male","RX","EENT",2015,5.69,2.058,74.455,76.451,-0.095,0.202,-0.247
"19-25","Male","RX","EENT",2016,5.14,1.968,76.952,66.776,-0.097,0.034,-0.127
"19-25","Male","RX","EENT",2017,5.05,1.899,71.805,70.314,-0.017,-0.067,0.053
"19-25","Male","RX","Enzymes",2014,0.57,0,34569.41,0.017,0,0,0
"19-25","Male","RX","Enzymes",2015,0.01,0,9543.65,0.001,-0.975,-0.724,-0.911
"19-25","Male","RX","Enzymes",2016,0.03,0,6262.36,0.004,0.898,-0.344,1.893
"19-25","Male","RX","Enzymes",2017,0.13,0.002,11314.11,0.011,3.83,0.807,1.674
